order,sourcename,fieldname,stap_toevoegen,stap_bereken,type,lengte,alias,expression,mag_niet_0_zijn,Toelichting ,opmerking,Bron
49,,HA_VER_G,st3a,06_stat_verh_opp,DOUBLE,,Ha verhard opp bemalingsgebied,[HA_GEM_G]+[HA_VGS_G]+[HA_HWA_G]+[HA_OPW_G]+[HA_NAG_G]+[HA_OBK_G],,Totaal aan verhard oppervlak van het bemalingsgebied (ha),,PLANCAP
50,,HA_GEM_G,st3a,06_stat_verh_opp,DOUBLE,,Oppervlak Gemengd (G) (ha),,,Totaal aan verhard oppervlak aangesloten op Gemengd in gebied (ha),,VE
51,,HA_VGS_G,st3a,06_stat_verh_opp,DOUBLE,,Oppervlak VGS (G) (ha),,,Totaal aan verhard oppervlak aangesloten op VGS in gebied (ha),,BAG
52,,HA_HWA_G,st3a,06_stat_verh_opp,DOUBLE,,Ha HWA riool,,,Totaal aan verhard oppervlak aangesloten op HWA in gebied (ha),,BGT-GEM
53,,HA_OPW_G,st3a,06_stat_verh_opp,DOUBLE,,Ha Oppervlaktewater,,,Totaal aan verhard oppervlak aangesloten op 'Niet aangesloten' in gebied (ha),,BGT-GEM
54,,HA_NAG_G,st3a,06_stat_verh_opp,DOUBLE,,Ha Niet aangesloten,,,Totaal aan verhard oppervlak aangesloten op 'Oppervlaktewater' in gebied (ha),,Berekend
55,,HA_OBK_G,st3a,06_stat_verh_opp,DOUBLE,,Ha Onbekend,,,"Totaal aan verhard oppervlak aangesloten op 'Onbekend"" in gebied (ha)",,Berekend
15,,HA_TOT_G,st1b,07_ber,DOUBLE,,Totaal Afvoerend oppervlak (G) (ha),[HA_GEM_G]+[HA_VGS_G],,Totaal aangesloten verhard oppervlak,,Berekend
56,,PI_VER_G,st3a,07_ber,DOUBLE,,% bemalingsgebied,[HA_VER_G]/[HA_BEM_G]*100 ,HA_BEM_G,Totaal aan verhard oppervlak van het bemalingsgebied (%),,Berekend
57,,PI_GEM_G,st3a,07_ber,DOUBLE,,% Gemengd riool,[HA_GEM_G]/[HA_BEM_G]*100,HA_BEM_G,Totaal aan verhard oppervlak aangesloten op Gemengd in gebied (%),,
58,,PI_VGS_G,st3a,07_ber,DOUBLE,,% HWA riool,[HA_VGS_G]/[HA_BEM_G]*100,HA_BEM_G,Totaal aan verhard oppervlak aangesloten op HWA in gebied (%),,Berekend
59,,PI_HWA_G,st3a,07_ber,DOUBLE,,% VGS (HWA-riool),[HA_HWA_G]/[HA_BEM_G]*100,HA_BEM_G,Totaal aan verhard oppervlak aangesloten op VGS in gebied (%),,O
60,,PI_OPW_G,st3a,07_ber,DOUBLE,,% Oppervlaktewater,[HA_OPW_G]/[HA_BEM_G]*100,HA_BEM_G,Totaal aan verhard oppervlak aangesloten op 'Oppervlaktewater' in gebied (%),,O
61,,PI_NAG_G,st3a,07_ber,DOUBLE,,% Niet aangesloten,[HA_NAG_G]/[HA_BEM_G]*100,HA_BEM_G,Totaal aan verhard oppervlak aangesloten op 'Niet aangesloten' in gebied (%),,
62,,PI_OBK_G,st3a,07_ber,DOUBLE,,% Onbekend,[HA_OBK_G]/[HA_BEM_G]*100,HA_BEM_G,"Totaal aan verhard oppervlak aangesloten op 'Onbekend"" in gebied (%)",,GEOM
20,,BERG_ST_MM,st2a,08_ber,DOUBLE,,Berging stelsel (mm),[K_BR_ST_M3]/[HA_TOT_G]/10,HA_TOT_G,Berekend met FOLMULE berging,,BGT-GEM
21,,BERG_RV_MM,st2a,08_ber,DOUBLE,,Berging randvoorziening (mm),[K_BERG_VL]/[HA_TOT_G]/10,HA_TOT_G,Berekend met FOLMULE berging,,BGT-GEM
22,,OPP_PER_M2,st2a,08_ber,DOUBLE,,Oppervlak per perceel (m2),[HA_TOT_G]*10000/[X_WON_GEB],X_WON_GEB,Verhard oppervlak*10000/Aantal woningen,,BGT-GEM
23,,VULTIJD_U,st2a,08_ber,DOUBLE,,Vultijd (uur, (tijdens droogweer)),[K_BR_ST_M3]/[DWR_TOT],DWR_TOT,Inhoud gedeeld door aanvoer (Berging / DWA) in uur,,BGT-GEM
26,,POC_B_M3_G,st2a,08_ber,DOUBLE,,POC beschikbaar (B) (m3/h),[K_INST_TOT] - [DWR_TOT],,Capaciteit rioolgemaal - DWA,,BGT-GEM
28,,POC_O_M3_G,st2a,08_ber,DOUBLE,,POC ontwerp (G) (m3/h),([HA_GEM_G]*10*0.7)+([HA_VGS_G]*10*0.3),,Ontwerp POC obv verhard oppervlak (gem=0,7 & vgs=0,3),,BGT-GEM
27,,POC_B_M3_O,st2a,09_obm,DOUBLE,,POC beschikbaar (O) (m3/h),onderbem(POC_B_M3_G),,Som POC beschikbaar onderbemaling,,GEOM
29,,POC_O_M3_O,st2a,09_obm,DOUBLE,,POC ontwerp (O) (m3/h),onderbem(POC_O_M3_G),,Som ontwerp POC uit onderbemaling,,BGT-GEM
9,,POC_B_M3_T,st1b,10_ber,DOUBLE,,POC beschikbaar (T) (m3/h),[POC_B_M3_G] + [POC_B_M3_O],,Capaciteit rioolgemaal - DWA,,BGT-GEM
10,,POC_B_MM_T,st1b,10_ber,DOUBLE,,POC beschikbaar (T) (mm/h),[POC_B_M3_T]/(10*[HA_TOT_G]),HA_TOT_G,Berekend met FOLMULE poc,,BGT-GEM
13,,POC_O_M3_T,st1b,10_ber,DOUBLE,,POC ontwerp (T) (m3/h),[POC_O_M3_G]+[POC_O_M3_O],,Berekend met FOLMULE poc (POC = 0,7),,BGT-GEM
12,,CAP_ONTW,st1b,11_ber,DOUBLE,,Ontwerp capaciteit Rg (m3/h),[DWR_TOT]+[POC_O_M3_T],,Geïnstalleerde capaciteit uitgaand van kentallen,,BGT-GEM
14,,POC_O_MM_T,st1b,11_ber,DOUBLE,,POC ontwerp (T) (mm/h),[POC_O_M3_T]/(10*[HA_TOT_G]),HA_TOT_G,Berekend met FOLMULE poc,,BGT-GEM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
